circuit,n,min_feasible_side,max_swept_side,steps_at_min_grid,plateau_steps,max_drop_pct,sensitive,elbow_e2,clipped_e2,nonrouted_e2,elbow_e5,clipped_e5,nonrouted_e5,elbow_e10,clipped_e10,nonrouted_e10
vqe_two_local_n100,100,23,36,1903,1271,33.21,True,36,True,62.209,36,True,62.209,29,False,59.044
wstate_n100,100,21,34,102,101,0.98,False,21,False,0.505,21,False,0.505,21,False,0.505
ghz_n125,125,24,36,124,124,0.0,False,24,False,0.0,24,False,0.0,24,False,0.0
graphstate_n125,125,24,36,6,5,16.67,True,26,False,0.8,26,False,0.8,26,False,0.8
ising_n125,125,24,36,4,4,0.0,False,24,False,0.0,24,False,0.0,24,False,0.0
qaoa_n125,125,25,38,1860,1354,27.2,True,38,True,44.5,33,False,45.985,28,False,46.637
qft_n125,125,24,37,846,789,6.74,True,29,False,26.725,26,False,28.493,24,False,31.223
vqe_real_amp_n125,125,24,36,128,128,0.0,False,24,False,0.0,24,False,0.0,24,False,0.0
vqe_su2_n125,125,24,36,128,128,0.0,False,24,False,0.0,24,False,0.0,24,False,0.0
vqe_two_local_n125,125,26,39,2382,1891,20.61,True,39,True,66.06,37,False,64.03,31,False,63.028
wstate_n125,125,24,36,126,126,0.0,False,24,False,0.0,24,False,0.0,24,False,0.0
qft_n128,128,24,37,891,813,8.75,True,26,False,27.021,26,False,27.021,24,False,31.915
cat_n130,130,25,37,129,129,0.0,False,25,False,0.0,25,False,0.0,25,False,0.0
bwt_n177,133,28,38,259998,257606,0.92,False,28,False,4.735,28,False,4.735,28,False,4.735
ghz_n150,150,27,38,149,149,0.0,False,27,False,0.0,27,False,0.0,27,False,0.0
graphstate_n150,150,28,38,6,6,0.0,False,28,False,0.667,28,False,0.667,28,False,0.667
ising_n150,150,27,38,5,4,20.0,True,30,False,0.0,30,False,0.0,30,False,0.0
qaoa_n150,150,28,40,2723,1879,31.0,True,36,False,50.746,32,False,50.243,31,False,50.863
qft_n150,150,25,39,1230,968,21.3,True,29,False,27.563,27,False,30.842,26,False,31.075
vqe_real_amp_n150,150,27,38,154,153,0.65,False,27,False,0.224,27,False,0.224,27,False,0.224
vqe_su2_n150,150,27,38,154,153,0.65,False,27,False,0.224,27,False,0.224,27,False,0.224
vqe_two_local_n150,150,29,41,3253,2639,18.87,True,41,True,66.5,34,False,66.461,31,False,65.271
wstate_n150,150,27,38,151,151,0.0,False,27,False,0.0,27,False,0.0,27,False,0.0
bv_n280,153,28,41,152,152,0.0,False,28,False,0.0,28,False,0.0,28,False,0.0
ghz_n175,175,28,40,174,174,0.0,False,28,False,0.0,28,False,0.0,28,False,0.0
graphstate_n175,175,30,40,7,7,0.0,False,30,False,4.0,30,False,4.0,30,False,4.0
